id	type	class	reason
buddyinfo.zone_count	Integer	candidate_individual	scalar numeric metric
buddyinfo.zones	Table	hard_table	table structure varies; best as source/group guide
cgroups.controller_count	Integer	candidate_individual	scalar numeric metric
cgroups.controllers	Table	hard_table	table structure varies; best as source/group guide
cmdline.cmdline	Text	hard_text	host-specific text; low reusable metric semantics
cmdline.param_count	Integer	candidate_individual	scalar numeric metric
conntrack.conntrack_count	Integer	candidate_group_suffix	conntrack.conntrack (min/max/count family)
conntrack.conntrack_max	Integer	candidate_group_suffix	conntrack.conntrack (min/max/count family)
conntrack.usage_pct	Float	candidate_individual	scalar numeric metric
consoles.console_count	Integer	candidate_individual	scalar numeric metric
consoles.consoles	Table	hard_table	table structure varies; best as source/group guide
cpuinfo.logical_cpus	Integer	candidate_individual	scalar numeric metric
cpuinfo.model	Text	hard_text	host-specific text; low reusable metric semantics
cpuinfo.frequency	Float	candidate_individual	scalar numeric metric
cpuinfo.cache_size	Text	hard_text	host-specific text; low reusable metric semantics
cpuinfo.cores_per_socket	Integer	candidate_individual	scalar numeric metric
cpuinfo.key_flags	Text	hard_text	host-specific text; low reusable metric semantics
crypto.algorithm_count	Integer	candidate_individual	scalar numeric metric
crypto.algorithms	Table	hard_table	table structure varies; best as source/group guide
devices.device_count	Integer	candidate_individual	scalar numeric metric
devices.devices	Table	hard_table	table structure varies; best as source/group guide
df.filesystems	Table	hard_table	table structure varies; best as source/group guide
df.total_disk	Bytes	candidate_individual	scalar numeric metric
df.used_disk	Bytes	candidate_individual	scalar numeric metric
df.available_disk	Bytes	existing_individual	metric article exists
df.root_use_pct	Float	existing_individual	metric article exists
diskstats.active_devices	Integer	existing_individual	metric article exists
diskstats.devices	Table	hard_table	table structure varies; best as source/group guide
dma.channel_count	Integer	candidate_individual	scalar numeric metric
dma.channels	Table	hard_table	table structure varies; best as source/group guide
dns.nameservers	Table	hard_table	table structure varies; best as source/group guide
dns.search_domains	Text	hard_text	host-specific text; low reusable metric semantics
dns.options	Text	hard_text	host-specific text; low reusable metric semantics
dns.dns_resolution_ms	Float	candidate_individual	scalar numeric metric
file-nr.fd_allocated	Integer	existing_individual	metric article exists
file-nr.fd_unused	Integer	candidate_individual	scalar numeric metric
file-nr.fd_max	Integer	candidate_individual	scalar numeric metric
file-nr.fd_usage_pct	Float	existing_individual	metric article exists
filesystems.filesystem_count	Integer	candidate_individual	scalar numeric metric
filesystems.filesystems	Table	hard_table	table structure varies; best as source/group guide
interrupts.cpu_count	Integer	candidate_individual	scalar numeric metric
interrupts.irq_count	Integer	candidate_individual	scalar numeric metric
interrupts.interrupts	Table	hard_table	table structure varies; best as source/group guide
iomem.region_count	Integer	candidate_individual	scalar numeric metric
iomem.regions	Table	hard_table	table structure varies; best as source/group guide
ioports.region_count	Integer	candidate_individual	scalar numeric metric
ioports.regions	Table	hard_table	table structure varies; best as source/group guide
loadavg.load_1min	Float	existing_individual	metric article exists
loadavg.load_5min	Float	candidate_individual	scalar numeric metric
loadavg.load_15min	Float	candidate_individual	scalar numeric metric
loadavg.running_threads	Integer	existing_individual	metric article exists
loadavg.total_threads	Integer	candidate_individual	scalar numeric metric
loadavg.last_pid	Integer	candidate_individual	scalar numeric metric
locks.lock_count	Integer	candidate_individual	scalar numeric metric
locks.locks	Table	hard_table	table structure varies; best as source/group guide
meminfo.MemTotal	Bytes	candidate_individual	scalar numeric metric
meminfo.MemFree	Bytes	existing_individual	metric article exists
meminfo.MemAvailable	Bytes	existing_individual	metric article exists
meminfo.Buffers	Bytes	candidate_individual	scalar numeric metric
meminfo.Cached	Bytes	existing_individual	metric article exists
meminfo.SwapCached	Bytes	candidate_individual	scalar numeric metric
meminfo.Active	Bytes	candidate_individual	scalar numeric metric
meminfo.Inactive	Bytes	candidate_individual	scalar numeric metric
meminfo.Active(anon)	Bytes	candidate_individual	scalar numeric metric
meminfo.Inactive(anon)	Bytes	candidate_individual	scalar numeric metric
meminfo.Active(file)	Bytes	candidate_individual	scalar numeric metric
meminfo.Inactive(file)	Bytes	candidate_individual	scalar numeric metric
meminfo.Unevictable	Bytes	candidate_individual	scalar numeric metric
meminfo.Mlocked	Bytes	candidate_individual	scalar numeric metric
meminfo.SwapTotal	Bytes	candidate_individual	scalar numeric metric
meminfo.SwapFree	Bytes	candidate_individual	scalar numeric metric
meminfo.Dirty	Bytes	candidate_individual	scalar numeric metric
meminfo.Writeback	Bytes	candidate_individual	scalar numeric metric
meminfo.AnonPages	Bytes	candidate_individual	scalar numeric metric
meminfo.Mapped	Bytes	candidate_individual	scalar numeric metric
meminfo.Shmem	Bytes	candidate_individual	scalar numeric metric
meminfo.KReclaimable	Bytes	candidate_individual	scalar numeric metric
meminfo.Slab	Bytes	candidate_individual	scalar numeric metric
meminfo.SReclaimable	Bytes	candidate_individual	scalar numeric metric
meminfo.SUnreclaim	Bytes	candidate_individual	scalar numeric metric
meminfo.KernelStack	Bytes	candidate_individual	scalar numeric metric
meminfo.PageTables	Bytes	candidate_individual	scalar numeric metric
meminfo.SecPageTables	Bytes	candidate_individual	scalar numeric metric
meminfo.NFS_Unstable	Bytes	candidate_individual	scalar numeric metric
meminfo.Bounce	Bytes	candidate_individual	scalar numeric metric
meminfo.WritebackTmp	Bytes	candidate_individual	scalar numeric metric
meminfo.CommitLimit	Bytes	candidate_individual	scalar numeric metric
meminfo.Committed_AS	Bytes	candidate_individual	scalar numeric metric
meminfo.VmallocTotal	Bytes	candidate_individual	scalar numeric metric
meminfo.VmallocUsed	Bytes	candidate_individual	scalar numeric metric
meminfo.VmallocChunk	Bytes	candidate_individual	scalar numeric metric
meminfo.Percpu	Bytes	candidate_individual	scalar numeric metric
meminfo.HardwareCorrupted	Bytes	candidate_individual	scalar numeric metric
meminfo.AnonHugePages	Bytes	candidate_individual	scalar numeric metric
meminfo.ShmemHugePages	Bytes	candidate_individual	scalar numeric metric
meminfo.ShmemPmdMapped	Bytes	candidate_individual	scalar numeric metric
meminfo.FileHugePages	Bytes	candidate_individual	scalar numeric metric
meminfo.FilePmdMapped	Bytes	candidate_individual	scalar numeric metric
meminfo.Unaccepted	Bytes	candidate_individual	scalar numeric metric
meminfo.HugePages_Total	Bytes	candidate_individual	scalar numeric metric
meminfo.HugePages_Free	Bytes	candidate_individual	scalar numeric metric
meminfo.HugePages_Rsvd	Bytes	candidate_individual	scalar numeric metric
meminfo.HugePages_Surp	Bytes	candidate_individual	scalar numeric metric
meminfo.Hugepagesize	Bytes	candidate_individual	scalar numeric metric
meminfo.Hugetlb	Bytes	candidate_individual	scalar numeric metric
meminfo.DirectMap4k	Bytes	candidate_individual	scalar numeric metric
meminfo.DirectMap2M	Bytes	candidate_individual	scalar numeric metric
meminfo.DirectMap1G	Bytes	candidate_individual	scalar numeric metric
misc.device_count	Integer	candidate_individual	scalar numeric metric
misc.devices	Table	hard_table	table structure varies; best as source/group guide
modules.module_count	Integer	candidate_individual	scalar numeric metric
modules.modules	Table	hard_table	table structure varies; best as source/group guide
mounts.count	Integer	candidate_individual	scalar numeric metric
mounts.mounts	Table	hard_table	table structure varies; best as source/group guide
net/arp.entry_count	Integer	candidate_individual	scalar numeric metric
net/arp.entries	Table	hard_table	table structure varies; best as source/group guide
net/dev.total_rx	Bytes	existing_individual	metric article exists
net/dev.total_tx	Bytes	existing_individual	metric article exists
net/dev.interface_count	Integer	candidate_individual	scalar numeric metric
net/dev.interfaces	Table	hard_table	table structure varies; best as source/group guide
net/netstat.TcpExt_SyncookiesSent	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_SyncookiesRecv	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_SyncookiesFailed	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_EmbryonicRsts	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_PruneCalled	Integer	candidate_individual	scalar numeric metric
